"filename", "language", "Markdown", "TypeScript", "YAML", "Docker", "Ignore", "JSON", "JavaScript", "Properties", "comment", "blank", "total"
"/home/undefined/Documents/pkl/apikom/services/categories/middlewares/isValid.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/home/undefined/Documents/pkl/apikom/services/categories/models/category.model.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 1, 4, 31
"/home/undefined/Documents/pkl/apikom/services/categories/nodemon.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/undefined/Documents/pkl/apikom/services/categories/package-lock.json", "JSON", 0, 0, 0, 0, 0, 10348, 0, 0, 0, 1, 10349
"/home/undefined/Documents/pkl/apikom/services/categories/package.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"/home/undefined/Documents/pkl/apikom/services/categories/routes/category.route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/home/undefined/Documents/pkl/apikom/services/categories/seeders/20210307035835-categories.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"/home/undefined/Documents/pkl/apikom/services/categories/services/category.services.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/undefined/Documents/pkl/apikom/services/categories/tests/category.controller.test.ts", "TypeScript", 0, 212, 0, 0, 0, 0, 0, 0, 0, 24, 236
"/home/undefined/Documents/pkl/apikom/services/categories/tsconfig.json", "JSON", 0, 0, 0, 0, 0, 17, 0, 0, 47, 8, 72
"/home/undefined/Documents/pkl/apikom/services/categories/validations/category.validation.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/undefined/Documents/pkl/apikom/services/default.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"/home/undefined/Documents/pkl/apikom/services/docker-compose.yml", "YAML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"/home/undefined/Documents/pkl/apikom/services/images/.dockerignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"/home/undefined/Documents/pkl/apikom/services/images/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 2, 1, 26
